X,Y,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.4108047,43.7697296,705,5000885,2013,D32,Shooting,2013-06-16T04:00:00.000Z,51,Willowdale East (51),43.7697296,-79.4108047,545
-79.5858307,43.7509766,706,GO-20131032372,2013,D23,Shooting,2013-11-24T05:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7509766,-79.5858307,546
-79.48246,43.683734899999983,707,3386271,2009,D12,Other,2009-05-20T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6837349,-79.48246,547
-79.341011,43.7762108,765,GO-20152125474,2015,D33,Shooting,2015-12-11T05:00:00.000Z,47,Don Valley Village (47),43.7762108,-79.341011,548
-79.3413849,43.7080193,708,GO-20143392120,2014,D53,Stabbing,2014-11-29T05:00:00.000Z,55,Thorncliffe Park (55),43.7080193,-79.3413849,549
-79.3413849,43.7080193,709,GO-20143392120,2014,D53,Stabbing,2014-11-29T05:00:00.000Z,55,Thorncliffe Park (55),43.7080193,-79.3413849,550
-79.3413849,43.7080193,710,GO-20143392120,2014,D53,Stabbing,2014-11-29T05:00:00.000Z,55,Thorncliffe Park (55),43.7080193,-79.3413849,551
-79.3860626,43.6552429,711,GO-20143310199,2014,D52,Shooting,2014-11-16T05:00:00.000Z,76,Bay Street Corridor (76),43.6552429,-79.3860626,552
-79.3737793,43.6672974,712,GO-20143420091,2014,D51,Stabbing,2014-12-01T05:00:00.000Z,74,North St.James Town (74),43.6672974,-79.3737793,553
-79.2548218,43.7455254,713,GO-20143423102,2014,D41,Stabbing,2014-12-04T05:00:00.000Z,127,Bendale (127),43.7455254,-79.2548218,554
-79.4682236,43.6563339,714,GO-20143455828,2014,D11,Stabbing,2014-12-09T05:00:00.000Z,88,High Park North (88),43.6563339,-79.4682236,555
-79.4247971,43.643016799999984,715,GO-20143536404,2014,D14,Other,2014-12-15T05:00:00.000Z,84,Little Portugal (84),43.6430168,-79.4247971,556
-79.3767166,43.6624222,716,GO-201555992,2015,D51,Stabbing,2015-01-10T05:00:00.000Z,71,Cabbagetown-South St.James Town (71),43.6624222,-79.3767166,557
-79.412674,43.7813377,717,GO-201599853,2015,D32,Stabbing,2015-01-17T05:00:00.000Z,50,Newtonbrook East (50),43.7813377,-79.412674,558
-79.4493713,43.7208595,718,GO-2015159448,2015,D32,Shooting,2015-01-27T05:00:00.000Z,31,Yorkdale-Glen Park (31),43.7208595,-79.4493713,559
-79.4060211,43.6523132,719,GO-2015179790,2015,D14,Shooting,2015-01-31T05:00:00.000Z,78,Kensington-Chinatown (78),43.6523132,-79.4060211,560
-79.262207,43.7125587,720,GO-2015205271,2015,D41,Other,2015-02-04T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7125587,-79.262207,561
-79.3208923,43.6839447,721,GO-2015346652,2015,D55,Shooting,2015-02-28T05:00:00.000Z,66,Danforth (66),43.6839447,-79.3208923,562
-79.3208923,43.6839447,722,GO-2015346652,2015,D55,Shooting,2015-02-28T05:00:00.000Z,66,Danforth (66),43.6839447,-79.3208923,563
-79.5486755,43.7013283,723,GO-2015453427,2015,D23,Shooting,2015-03-17T04:00:00.000Z,6,Kingsview Village-The Westway (6),43.7013283,-79.5486755,564
-79.5704117,43.676342,724,GO-2015473322,2015,D23,Stabbing,2015-03-21T04:00:00.000Z,7,Willowridge-Martingrove-Richview (7),43.676342,-79.5704117,565
-79.4832687,43.6205139,725,GO-2015457868,2015,D22,Other,2015-03-18T04:00:00.000Z,17,Mimico (includes Humber Bay Shores) (17),43.6205139,-79.4832687,566
-79.5864182,43.7325096,726,GO-2015531511,2015,D23,Shooting,2015-03-30T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7325096,-79.5864182,567
-79.4408569,43.6784363,727,GO-2015618195,2015,D13,Other,2015-04-14T04:00:00.000Z,92,Corso Italia-Davenport (92),43.6784363,-79.4408569,568
-79.263382,43.6922798,728,GO-2015669864,2015,D41,Stabbing,2015-04-23T04:00:00.000Z,122,Birchcliffe-Cliffside (122),43.6922798,-79.263382,569
